Symbol\Weightage,['apr12']
NTPC,1.28
ONGC,1.21
POWERGRID,1.11
RELIANCE,7.86
SBIN,2.16
SUNPHARMA,1.38
TCS,4.16
TATAMOTORS,1.49
TATASTEEL,1.09
TECHM,0.99
TITAN,0.97
UPL,0.63
ULTRACEMCO,1.01
VEDL,1.31
WIPRO,0.75
YESBANK,1.58
ZEEL,0.76
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Symbol\Weightage,['apr19.zip']
ADANIPORTS,0.65
ASIANPAINT,1.39
AXISBANK,3.16
BAJAJ-AUTO,0.86
BAJFINANCE,1.55
BAJAJFINSV,0.96
BPCL,0.63
BHARTIARTL,1.15
INFRATEL,0.47
BRITANNIA,0.72
CIPLA,0.61
COALINDIA,0.89
DRREDDY,0.75
EICHERMOT,0.60
GAIL,0.68
GRASIM,0.75
HCLTECH,1.36
HDFCBANK,10.53
HEROMOTOCO,0.69
HINDALCO,0.64
HINDUNILVR,2.65
HDFC,6.95
ICICIBANK,5.55
ITC,5.46
IBULHSGFIN,0.49
IOC,0.79
INDUSINDBK,1.74
INFY,6.03
JSWSTEEL,0.66
KOTAKBANK,3.91
LT,3.51
M&M,1.27
MARUTI,1.87
NTPC,1.15
ONGC,1.08
POWERGRID,0.91
RELIANCE,10.07
SBIN,2.45
SUNPHARMA,1.07
TCS,5.01
TATAMOTORS,0.82
TATASTEEL,0.89
TECHM,1.11
TITAN,1.02
UPL,0.75
ULTRACEMCO,1.02
VEDL,0.64
WIPRO,0.95
YESBANK,0.66
ZEEL,0.51
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Symbol\Weightage,['apr20.zip']
ADANIPORTS,0.55
ASIANPAINT,1.93
AXISBANK,2.44
BAJAJ-AUTO,0.83
BAJFINANCE,1.49
BAJAJFINSV,0.75
BPCL,0.72
BHARTIARTL,2.80
INFRATEL,0.36
BRITANNIA,0.91
CIPLA,0.73
COALINDIA,0.76
DRREDDY,1.16
EICHERMOT,0.50
GAIL,0.43
GRASIM,0.49
HCLTECH,1.44
HDFCBANK,10.56
HEROMOTOCO,0.68
HINDALCO,0.46
HINDUNILVR,3.82
HDFC,8.07
ICICIBANK,5.99
ITC,3.87
IOC,0.52
INDUSINDBK,0.69
INFY,6.38
JSWSTEEL,0.45
KOTAKBANK,4.42
LT,2.70
M&M,0.85
MARUTI,1.73
NTPC,1.12
